"","Sensitivity","Specificity","1-Spec","PPV","NPV","TP","FP","FN","TN","Cutoff"
"result.231",1,0.000156091285664638,0.999843908714335,0.000155184972873449,1,856,5515142,0,861,3.7e-07
"result.232",1,0.00015736032050744,0.999842639679493,0.000155185169809015,1,856,5515135,0,868,3.71e-07
"result.233",1,0.0001589919367339,0.999841008063266,0.00015518542301262,1,856,5515126,0,877,3.73e-07
"result.234",1,0.00016044226226853,0.999839557737731,0.000155185648083185,1,856,5515118,0,885,3.74e-07
"result.235",1,0.000160986134344017,0.999839013865656,0.000155185732484815,1,856,5515115,0,888,3.75e-07
"result.236",1,0.000161892587803161,0.999838107412197,0.000155185873154403,1,856,5515110,0,893,3.76e-07
"result.237",1,0.000162799041262305,0.999837200958738,0.000155186013824246,1,856,5515105,0,898,3.77e-07
"result.238",1,0.000164249366796936,0.999835750633203,0.000155186238896524,1,856,5515097,0,906,3.78e-07
"result.239",1,0.000165337110947909,0.999834662889052,0.000155186407701162,1,856,5515091,0,912,3.79e-07
"result.240",1,0.000166243564407053,0.999833756435593,0.000155186548371973,1,856,5515086,0,917,3.8e-07
"result.241",1,0.00016678743648254,0.999833212563517,0.000155186632774583,1,856,5515083,0,920,3.81e-07
"result.242",1,0.000167512599249855,0.99983248740075,0.000155186745311538,1,856,5515079,0,924,3.82e-07
"result.243",1,0.000168237762017171,0.999831762237983,0.000155186857848657,1,856,5515075,0,928,3.83e-07
"result.244",1,0.000169325506168144,0.999830674493832,0.000155187026654641,1,856,5515069,0,934,3.84e-07
"result.245",1,0.000170413250319117,0.999829586749681,0.000155187195460992,1,856,5515063,0,940,3.85e-07
"result.246",1,0.000171138413086432,0.999828861586914,0.000155187307998764,1,856,5515059,0,944,3.86e-07
"result.247",1,0.000172407447929234,0.999827592552071,0.000155187504940256,1,856,5515052,0,951,3.87e-07
"result.248",1,0.000174764226923009,0.999825235773077,0.000155187870690069,1,856,5515039,0,964,3.88e-07
"result.249",1,0.000175126808306667,0.999824873191693,0.000155187926959424,1,856,5515037,0,966,3.89e-07
"result.250",1,0.00017621455245764,0.999823785447542,0.000155188095767734,1,856,5515031,0,972,3.9e-07
"result.251",1,0.000177664877992271,0.999822335122008,0.000155188320846052,1,856,5515023,0,980,3.91e-07
"result.252",1,0.000178027459375929,0.999821972540624,0.000155188377115733,1,856,5515021,0,982,3.92e-07
"result.253",1,0.00017929649421873,0.999820703505781,0.00015518857405994,1,856,5515014,0,989,3.93e-07
"result.254",1,0.000180565529061532,0.999819434470938,0.000155188771004646,1,856,5515007,0,996,3.94e-07
"result.255",1,0.00018092811044519,0.999819071889555,0.000155188827274654,1,856,5515005,0,998,3.95e-07
"result.256",1,0.000181653273212506,0.999818346726787,0.000155188939814792,1,856,5515001,0,1002,3.96e-07
"result.257",1,0.000182378435979821,0.99981762156402,0.000155189052355094,1,856,5514997,0,1006,3.97e-07
"result.258",1,0.000183647470822623,0.999816352529177,0.000155189249301014,1,856,5514990,0,1013,3.98e-07
"result.259",1,0.000185097796357254,0.999814902203643,0.000155189474382678,1,856,5514982,0,1021,3.99e-07
