"","Sensitivity","Specificity","1-Spec","PPV","NPV","TP","FP","FN","TN","Cutoff"
"result.175",0.999386578333947,0.00976042278632984,0.99023957721367,0.00262535794109542,0.999836108561689,16292,6189338,10,61006,0.000223
"result.176",0.999386578333947,0.0101096835630167,0.989890316436983,0.00262628180751766,0.999841769648254,16292,6187155,10,63189,0.000224
"result.177",0.999386578333947,0.0104043873425207,0.989595612657479,0.00262706186543645,0.999846250826402,16292,6185313,10,65031,0.000225
"result.178",0.999263894000736,0.0107077306465052,0.989292269353495,0.00262754352746025,0.99982073230852,16290,6183417,12,66927,0.000226
"result.179",0.999263894000736,0.0110395523830368,0.988960447616963,0.00262842281884068,0.999826119716575,16290,6181343,12,69001,0.000227
"result.180",0.999202551834131,0.0113956927810693,0.988604307218931,0.00262920622151317,0.999817518248175,16289,6179117,13,71227,0.000228
"result.181",0.999141209667526,0.0117286344559595,0.98827136554404,0.00262992861345539,0.999809061400398,16288,6177036,14,73308,0.000229
"result.182",0.99907986750092,0.0120626960692084,0.987937303930792,0.00263065446554686,0.999801090026654,16287,6174948,15,75396,0.00023
"result.183",0.99907986750092,0.0124010774446974,0.987598922555303,0.00263155343570653,0.999806516523489,16287,6172833,15,77511,0.000231
"result.184",0.999018525334315,0.0127877761608001,0.9872122238392,0.00263242031053055,0.999799859901931,16286,6170416,16,79928,0.000232
"result.185",0.998957183167709,0.0131525560833132,0.986847443916687,0.00263322952949031,0.999793250228033,16285,6168136,17,82208,0.000233
"result.186",0.998957183167709,0.0135096564285102,0.98649034357149,0.00263418022321867,0.999798714138556,16285,6165904,17,84440,0.000234
"result.187",0.998957183167709,0.0138779561572931,0.986122043842707,0.00263516145198124,0.99980405491073,16285,6163602,17,86742,0.000235
"result.188",0.998957183167709,0.0142888135437026,0.985711186456297,0.0026362569263462,0.999809688000269,16285,6161034,17,89310,0.000236
"result.189",0.998957183167709,0.0146681526648773,0.985331847335123,0.00263726917214526,0.99981460882462,16285,6158663,17,91681,0.000237
"result.190",0.998957183167709,0.0150676506765068,0.984932349323493,0.00263833605159442,0.999819523329264,16285,6156166,17,94178,0.000238
"result.191",0.998711814501288,0.0154297107487204,0.98457028925128,0.00263865712918772,0.999782297692355,16281,6153903,21,96441,0.000239
"result.192",0.998650472334683,0.0159119242076916,0.984088075792308,0.0026397849645437,0.999778843350724,16280,6150889,22,99455,0.00024
"result.193",0.998650472334683,0.0162850236722971,0.983714976327703,0.00264078352760989,0.999783909084659,16280,6148557,22,101787,0.000241
"result.194",0.998650472334683,0.0167597175451463,0.983240282454854,0.00264205509041898,0.999790028250744,16280,6145590,22,104754,0.000242
"result.195",0.998589130168077,0.017148336155578,0.982851663844422,0.00264293507201953,0.999785459769043,16279,6143161,23,107183,0.000243
"result.196",0.998589130168077,0.0176598280030667,0.982340171996933,0.00264430757525328,0.999791672327745,16279,6139964,23,110380,0.000244
"result.197",0.998589130168077,0.0181073233729216,0.981892676627078,0.00264550952425681,0.999796819787986,16279,6137167,23,113177,0.000245
"result.198",0.998466445834867,0.0185527388572533,0.981447261142747,0.00264638266462461,0.99978445674478,16277,6134383,25,115961,0.000246
"result.199",0.998343761501656,0.0190647106783243,0.980935289321676,0.00264743573685253,0.999773467127563,16275,6131183,27,119161,0.000247
"result.200",0.998282419335051,0.0195301250619166,0.980469874938083,0.0026485267915557,0.999770676014349,16274,6128274,28,122070,0.000248
"result.201",0.99815973500184,0.0200785748752389,0.979921425124761,0.00264968040021377,0.999761009495889,16272,6124846,30,125498,0.000249
"result.202",0.99815973500184,0.0205363096815151,0.979463690318485,0.00265091539829629,0.999766335122168,16272,6121985,30,128359,0.00025
"result.203",0.99803705066863,0.0210154833077987,0.978984516692201,0.00265188435371932,0.999756442847792,16270,6118990,32,131354,0.000251
"result.204",0.99803705066863,0.0214583389330251,0.978541661066975,0.0026530813248513,0.999761468163454,16270,6116222,32,134122,0.000252
"result.205",0.99803705066863,0.0220175081563511,0.977982491843649,0.00265459421827095,0.99976752464602,16270,6112727,32,137617,0.000253
"result.206",0.997975708502024,0.022519880505777,0.977480119494223,0.00265579210480952,0.999765608352866,16269,6109587,33,140757,0.000254
"result.207",0.997975708502024,0.023041451798493,0.976958548201507,0.00265720619162199,0.999770912877473,16269,6106327,33,144017,0.000255
"result.208",0.997914366335419,0.0235396643768727,0.976460335623127,0.00265839537699357,0.999768966805966,16268,6103213,34,147131,0.000256
"result.209",0.997853024168814,0.0240458765149566,0.975954123485043,0.00265960751537363,0.999767178873146,16267,6100049,35,150295,0.000257
"result.210",0.997730339835603,0.02467192205741,0.97532807794259,0.00266098379343894,0.999760121884016,16265,6096136,37,154208,0.000258
"result.211",0.997730339835603,0.0252152521525215,0.974784747847478,0.00266246303612454,0.999765289486872,16265,6092740,37,157604,0.000259
"result.212",0.997730339835603,0.0257670617809196,0.97423293821908,0.00266396704902879,0.999770314730896,16265,6089291,37,161053,0.00026
"result.213",0.997668997668998,0.0262812734787077,0.973718726521292,0.00266520668051818,0.999768722802106,16264,6086077,38,164267,0.000261
"result.214",0.997668997668998,0.0269301977619152,0.973069802238085,0.0026669793228752,0.99977429452189,16264,6082021,38,168323,0.000262
"result.215",0.997607655502392,0.0275188053649527,0.972481194635047,0.00266842559936206,0.999773309850559,16263,6078342,39,172002,0.000263
"result.216",0.997607655502392,0.0280968535491807,0.971903146450819,0.00267000843212403,0.999777972605235,16263,6074729,39,175615,0.000264
"result.217",0.997607655502392,0.028677621583708,0.971322378416292,0.00267160060466258,0.999782468039535,16263,6071099,39,179245,0.000265
"result.218",0.997607655502392,0.0292551897943537,0.970744810205646,0.00267318588923414,0.999786761730839,16263,6067489,39,182855,0.000266
"result.219",0.997607655502392,0.0299109936989068,0.970089006301093,0.00267498819422753,0.99979143604306,16263,6063390,39,186954,0.000267
"result.220",0.997607655502392,0.030523599981057,0.969476400018943,0.00267667397870643,0.999795621049984,16263,6059561,39,190783,0.000268
"result.221",0.997484971169182,0.0311270867651444,0.968872913234856,0.0026780082509202,0.999789307077227,16261,6055789,41,194555,0.000269
"result.222",0.997484971169182,0.0316960154513096,0.96830398454869,0.00267957750308396,0.999793088134362,16261,6052233,41,198111,0.00027
"result.223",0.997484971169182,0.0323022220856964,0.967697777914304,0.00268125160250993,0.999796970402246,16261,6048444,41,201900,0.000271
"result.224",0.997423629002576,0.0330087431987743,0.966991256801226,0.0026830408059815,0.999796470211962,16260,6044028,42,206316,0.000272
"result.225",0.997423629002576,0.0336538276933238,0.966346172306676,0.00268482706147164,0.999800370740054,16260,6039996,42,210348,0.000273
